Categories,Correctness,Run,L1_ExtremaSum,L2_ExtremaSum,Categorical_Acc,Numerical_Acc,OneHotEncoding_Acc,BinaryEncoding_Acc,Categorical_Time,Numerical_Time,OneHotEncoding_Time,BinaryEncoding_Time
8,2,56,1,1,1,1,1,1,0.003294317,0.003232068,0.006727143,0.007164768
8,2,57,2,2,1,1,1,1,0.003369231,0.003525795,0.0051774,0.007405677
8,2,58,1,1,1,1,1,0.75,0.003318569,0.003371117,0.00478747,0.007081635
8,2,59,4,4,1,1,1,1,0.005283302,0.004754326,0.006916851,0.0075633195
8,2,60,1,1,1,1,1,1,0.003362494,0.003344978,0.004671058,0.00748113
8,2,61,3,3,1,1,1,0.75,0.003452767,0.003310755,0.00453713,0.006824153
8,2,62,1,1,1,1,1,0.75,0.003344169,0.004117289,0.005005206,0.006657214
8,2,63,3,3,1,1,1,0.75,0.00366619,0.003412346,0.007914174,0.0066099215
8,2,64,1,1,1,1,1,1,0.003602864,0.005962915,0.008488422,0.0074219805
8,2,65,4,4,1,1,1,1,0.003618493,0.003541963,0.007012784,0.007327799
8,2,66,1,1,1,1,1,0.75,0.005000894,0.005283841,0.005683201,0.006990957
8,2,67,4,4,1,1,1,1,0.00321536,0.005133205,0.00655926,0.0100742755
8,2,68,2,2,1,1,1,1,0.004548717,0.005844616,0.005361989,0.0072417025
8,2,69,1,1,1,1,1,1,0.00357403,0.004838671,0.005680507,0.007000389
8,2,70,1,1,1,1,1,1,0.003563252,0.005174165,0.006843555,0.0072290375
8,2,71,6,6,1,1,1,0.75,0.003580767,0.003395908,0.006501592,0.006636734
8,2,72,4,4,1,1,1,1,0.004680759,0.003750536,0.005560321,0.012994831
8,2,73,1,1,1,1,1,0.75,0.003663765,0.003742452,0.005774552,0.006930999
8,2,74,6,6,1,1,1,0.75,0.003378662,0.005290309,0.00441883,0.007246014
8,2,75,1,1,1,1,1,1,0.00338998,0.003267909,0.00449078,0.007010494
8,2,76,4,4,1,1,1,1,0.003270603,0.003590468,0.005982317,0.0074995885
8,2,77,1,1,1,1,1,0.75,0.003473247,0.003938628,0.004686956,0.007102115
8,2,78,7,7,1,1,1,0.75,0.003612565,0.003505315,0.004107588,0.0094639175
8,2,79,7,7,1,1,1,0.75,0.004062855,0.003866409,0.007982082,0.00691537
8,2,80,3,3,1,1,1,0.75,0.003317761,0.003710654,0.005743564,0.0075712685
8,2,81,4,4,1,1,1,1,0.003641669,0.003847546,0.00503862,0.0074668475
8,2,82,4,4,1,1,1,1,0.003295125,0.004010578,0.004990923,0.009495042
8,2,83,1,1,1,1,1,1,0.004860228,0.003156346,0.004368439,0.0065558915
8,2,84,5,5,1,1,1,0.75,0.003583462,0.003125626,0.004573778,0.0062361615
8,2,85,5,5,1,1,1,0.75,0.00396369,0.003775866,0.00496721,0.006518704
8,2,86,4,4,1,1,1,1,0.004873971,0.003752961,0.004657584,0.008704406
8,2,87,3,3,1,1,1,0.75,0.00625233,0.004731151,0.005999563,0.0073163465
8,2,88,3,3,1,1,1,0.75,0.003167664,0.003346595,0.004238014,0.0067802285
8,2,89,1,1,1,1,1,0.75,0.003085205,0.004167951,0.005979353,0.0065914625
8,2,90,7,7,1,1,1,0.75,0.004039951,0.00362038,0.008312457,0.007154932
8,2,91,2,2,1,1,1,1,0.003506931,0.003584539,0.004361702,0.007201686
8,2,92,4,4,1,1,1,1,0.003838115,0.003796615,0.00539729,0.007171774
8,2,93,2,2,1,1,1,0.75,0.003913028,0.004243403,0.006237508,0.007572616
8,2,94,5,5,1,1,1,0.75,0.003378123,0.00518198,0.012006941,0.0076402545
8,2,95,1,1,1,1,1,1,0.003413154,0.005641432,0.006342603,0.0090708895
8,2,96,1,1,1,1,1,0.75,0.003533879,0.00593489,0.007208153,0.0085257445
8,2,97,2,2,1,1,1,1,0.003591277,0.004233971,0.004443353,0.006774705
8,2,98,5,5,1,1,1,0.75,0.003735715,0.00393782,0.005585921,0.00592182
8,2,99,5,5,1,1,1,0.75,0.003022957,0.003621996,0.004416405,0.0059282875
8,2,100,3,3,1,1,1,0.75,0.002969332,0.003623074,0.004619588,0.0059723465
8,2,101,2,2,1,1,1,1,0.003147184,0.003014333,0.006385719,0.006419808
8,2,102,1,1,1,1,1,0.75,0.004630098,0.003406688,0.005695058,0.0065773145
8,2,103,7,7,1,1,1,0.75,0.005978005,0.004284093,0.00489014,0.0072020895
